timestamp_start,timestamp_end,track_id,current_zone,current_behavior,track_duration,movement_rate,maximum_movement_rate,movement_variance,distance_travelled_pixels,stationary_duration,stationary_ratio,movement_burst_count,standing_ratio,feeding_ratio,sitting_ratio,spreading_ratio,preening_ratio,resting_ratio,walking_ratio,behaviour_transition_count,behaviour_transition_rate,distance_to_nearest_bird,distance_to_flock_centroid,relative_isolation_score,relative_activity,zone_transition_count
0.03,5.0,1,ZONE_2,standing,4.97,54.0,57.6,194.4,286.0,0.0,0.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1,0.201,273.4,185.9,0.2482,2.0,1
0.03,5.0,2,ZONE_5,feeding,4.97,0.0,0.0,0.0,0.0,4.97,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,273.8,168.1,0.2486,1.0,0
0.03,5.0,3,ZONE_1,preening,4.97,0.0,0.0,0.0,0.0,4.97,1.0,0,0.688,0.0,0.0,0.0,0.312,0.0,0.0,1,0.201,333.1,232.7,0.3024,1.0,0
